CODIGO_REGION|NOMBRE_REGION
06021|12 DE OCTUBRE
06022|2 DE ABRIL
18014|25 DE MAYO
16006|25 DE MAYO
06015|25 DE MAYO
02121|25 DE MAYO
14011|25 DE MAYO
06019|9 DE JULIO
16001|ADOLFO ALSINA
02001|ADOLFO ALSINA
22003|AGUIRRE
18010|ALBARDÓN
22004|ALBERDI
23007|ALBERDI
02002|ALBERTI
02003|ALMIRANTE BROWN
06024|ALMIRANTE BROWN
15010|ALUMINÉ
03010|AMBATO
03004|ANCASTI
03012|ANDALGALÁ
18009|ANGACO
17005|ANTA
03014|ANTOFAGASTA DE LA SIERRA
24003|ANTÁRTIDA ARGENTINA
14002|APÓSTOLES
12004|ARAUCO
00000000|ARGENTINA
02010|ARRECIFES
22005|ATAMISQUI
11001|ATREUCO
02004|AVELLANEDA
16011|AVELLANEDA
22002|AVELLANEDA
19007|AYACUCHO
02005|AYACUCHO
02006|AZUL
15003|AÑELO
02007|BAHÍA BLANCA
02008|BALCARCE
22006|BANDA
02009|BARADERO
16009|BARILOCHE
19008|BELGRANO
21001|BELGRANO
22007|BELGRANO
05011|BELLA VISTA
03013|BELÉN
02059|BENITO JUÁREZ
02011|BERAZATEGUI
02012|BERISSO
09007|BERMEJO
06007|BERMEJO
05025|BERÓN DE ASTRADA
07002|BIEDMA
02013|BOLÍVAR
02014|BRAGADO
02015|BRANDSEN
02|BUENOS AIRES
23013|BURRUYACÚ
17020|CACHI
17017|CAFAYATE
14010|CAINGUAS
04002|CALAMUCHITA
11003|CALEU CALEU
18019|CALINGASTA
02016|CAMPANA
14003|CANDELARIA
03002|CAPAYÁN
12001|CAPITAL
03001|CAPITAL
18001|CAPITAL
11002|CAPITAL
04001|CAPITAL
05001|CAPITAL
23001|CAPITAL
22001|CAPITAL
17001|CAPITAL
13001|CAPITAL
14001|CAPITAL
02018|CAPITÁN SARMIENTO
02019|CARLOS CASARES
02020|CARLOS TEJEDOR
02021|CARMEN DE ARECO
21002|CASEROS
21003|CASTELLANOS
02023|CASTELLI
12003|CASTRO BARROS
03|CATAMARCA
11004|CATRILÓ
15011|CATÁN LIL
18015|CAUCETE
02017|CAÑUELAS
17011|CERRILLOS
06020|CHACABUCO
02029|CHACABUCO
19004|CHACABUCO
06|CHACO
11005|CHALILEO
12012|CHAMICAL
11006|CHAPALEUFÚ
02030|CHASCOMÚS
11007|CHICAL-CO
23005|CHICLIGASTA
17012|CHICOANA
12006|CHILECITO
18003|CHIMBAS
02031|CHIVILCOY
15005|CHOS MALAL
22009|CHOYA
07|CHUBUT
0900100005A|CIRCUITO 005 A
0900100008A|CIRCUITO 008 A
0900100008B|CIRCUITO 008 B
0900100017A|CIRCUITO 017 A
0900100017B|CIRCUITO 017 B
0900100018A|CIRCUITO 018 A
0900100021A|CIRCUITO 021 A
0900200022A|CIRCUITO 022 A
0900200022B|CIRCUITO 022 B
0900200022C|CIRCUITO 022 C
0900200023A|CIRCUITO 023 A
0900200023B|CIRCUITO 023 B
0900200023C|CIRCUITO 023 C
0900200024A|CIRCUITO 024 A
0900200024B|CIRCUITO 024 B
0900300026A|CIRCUITO 026 A
0900300026B|CIRCUITO 026 B
0900300028A|CIRCUITO 028 A
0900300028B|CIRCUITO 028 B
0900300029A|CIRCUITO 029 A
0900300030A|CIRCUITO 030 A
0900300031A|CIRCUITO 031 A
0900300031B|CIRCUITO 031 B
0900300032B|CIRCUITO 032 B
0900400034A|CIRCUITO 034 A
0900400034B|CIRCUITO 034 B
0900400034C|CIRCUITO 034 C
0900400035A|CIRCUITO 035 A
0900400035B|CIRCUITO 035 B
0900400036A|CIRCUITO 036 A
0900400036B|CIRCUITO 036 B
0900400036C|CIRCUITO 036 C
0900400037A|CIRCUITO 037 A
0900400037B|CIRCUITO 037 B
0900400037C|CIRCUITO 037 C
0900400037D|CIRCUITO 037 D
0900400037E|CIRCUITO 037 E
0900400037F|CIRCUITO 037 F
0900400037G|CIRCUITO 037 G
0900400038A|CIRCUITO 038 A
0900400039A|CIRCUITO 039 A
0900400041A|CIRCUITO 041 A
0900500043A|CIRCUITO 043 A
0900500043B|CIRCUITO 043 B
0900500043C|CIRCUITO 043 C
0900500043D|CIRCUITO 043 D
0900500043E|CIRCUITO 043 E
0900500043F|CIRCUITO 043 F
0900500044A|CIRCUITO 044 A
0900600047A|CIRCUITO 047 A
0900600050A|CIRCUITO 050 A
0900600050B|CIRCUITO 050 B
0900600051A|CIRCUITO 051 A
0900600051B|CIRCUITO 051 B
0900600054A|CIRCUITO 054 A
0900600056A|CIRCUITO 056 A
